position,participantWinningNumber
0,6616
1,6728
2,444
3,545
4,4969
5,5132
6,7050
7,6847
8,1071
9,5704
10,4240
11,1307
12,2195
13,7401
14,2385
15,2886
16,2862
17,2739
18,5509
19,3067
20,3353
21,1001
22,2787
23,4265
24,187
25,6388
26,327
27,397
28,3716
29,2169
30,3766
31,826
32,3202
33,5231
34,5819
35,7501
36,2559
37,2376
38,7231
39,4481
40,6929
41,6832
42,878
43,3852
44,343
45,5488
46,5807
47,2432
48,639
49,245
50,4939
51,1297
52,3909
53,2634
54,1011
55,4816
56,4424
57,5867
58,2528
59,705
60,3003
61,7099
62,2574
63,2113
64,5931
65,3562
66,1885
67,2766
68,4544
69,6811
70,3612
71,1359
72,4220
73,5346
74,4319
75,3246
76,5912
77,6083
78,373
79,5733
80,6758
81,6174
82,1471
83,2473
84,5394
85,6772
86,2649
87,7371
88,2305
89,2586
90,5698
91,2344
92,978
93,4340
94,4757
95,7445
96,7013
97,621
98,4062
99,7316
100,6118
101,6244
102,3263
103,5463
104,684
105,4490
106,3794
107,3945
108,1531
109,7183
110,5434
111,4452
112,6805
113,3055
114,4151
115,913
116,4377
117,6435
118,5018
119,1971
120,4121
121,1606
122,5253
123,606
124,292
125,2238
126,5895
127,6006
128,4847
129,897
130,3295
131,2048
132,1275
133,812
134,2394
135,5041
136,1652
137,3786
138,1361
139,406
140,7281
141,7464
142,4779
143,5636
144,5450
145,3505
146,5174
147,477
148,565
149,1413
150,943
151,5563
152,3484
153,2022
154,3699
155,1507
156,3183
157,5098
158,1040
159,6051
160,2641
161,490
162,4021
163,2423
164,4585
165,2454
166,3526
167,5767
168,6042
169,7037
170,5317
171,5300
172,1499
173,1687
174,7215
175,2939
176,5743
177,7130
178,3917
179,147
180,6546
181,5750
182,3019
183,4984
184,2172
185,5222
186,2662
187,7159
188,3679
189,3665
190,423
191,6394
192,3087
193,1840
194,6903
195,1439
196,5968
197,1567
198,5191
199,131
